Brand,Name,SKU,Image URL,Product URL,Description
Wholesome Farms Imperial,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=8a8a8927e684c945bb479520fc3c0dd161aab1f9&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7182310?seller_id=USBL,"Hillandale Farms, White cage free medium Grade AA egg produced and processed at very high standards. Each egg is an excellent source of vitamins and nutrients. All eggs are produced by well...
Read More"
Dailys Bacon,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=81933f1f250bc37c350bc68ae3abab7730633904&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/2010385?seller_id=USBL,"Big Buy™ Naturally Hardwood Smoked Bacon combines the rich real hardwood smoked flavor with a hint of sweetness from a delicious Big Buy cure giving this bacon a mildly sweet flavor. Big Buy...
Read More"
Dailys Bacon,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=c085d9538d2fc9d22eb174d01944710afc982604&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7717614?seller_id=USBL,"The sweet ‘n’ smoky flavor that John R. Daily made. And the one that made John R. Daily. Daily’s hardwood smoked honey-cured thick-cut bacon combines the rich smoke flavor with a hint of sw...
Read More"
Imperial,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=39fbbe0224a54e828e45d8fc9961e7642402e49c&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4528461?seller_id=USBL,"Brown 1-ply interfold napkin refills from Sysco Imperial are ideal for operations seeking a quality napkin at a good value. Interfold napkins pair efficiently with Complete®360 tower and tabletop d...
Read More"
Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=425b0fa3c7444068c9034704e6690349f9bfd316&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/5974290?seller_id=USBL,"Sysco greaseproof paper with standard release, reduces clean up costs and can be used 1-2 times. Adequate for most breads, cookies and basic bakery items.  Withstands heat up to 400 degrees....
Read More"
Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=525882486454ebdfce3f068c16bff5a44d578840&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/7267476?seller_id=USBL,"Sysco Classic dinner napkins are 2-ply, embossed, semi-crepe texture, high-quality, and perfect for restaurants, cafes, or any ty...
Read More"
Wholesome Farms Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=7a9780bd27d036e49d41b82f407ece3c81a34988&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/2441269?seller_id=USBL,"Wholesome Farms whole milk is a great drink or base for cereal for the whole family. Packed 2/Gallon containers. Fortified with...
Read More"
Baker's Source,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=1137467ac45cfc86d448084043ff53b068da293c&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/4735951?seller_id=USBL,"Baker's Source four-flavor muffin assortments contain four distinct muffin tastes that help expands your menu options. Blueberry, banana, chocolate, and cheese flavors ensure your customers ha...
Read More"
Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=b3366b888c23ac55434f9b854a48974cc29a2111&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/6344790?seller_id=USBL,"Sysco Classic first and second joint jumbo chicken wings make a great addition to your appetizer menu. Serve these wings seasoned or breaded alongside veggie sticks and flavorful dips, or in...
Read More"
Wholesome Farms Classic,Unknown,Unknown,https://mediacdn.sysco.com/images/rendition?id=22d2428dc7bf1d93a89dd37fc99f345e91219606&ht=225&wd=225,https://shop.sysco.com/app/product-details/opco/052/product/5066069?seller_id=USBL,"Wholesome Farms 1% Buttermilk is pleasantly tart tasting and smooth-bodied. Excellent for cooking or baking. Natural culture Streptococcus Lactis produces moist and flavorful baked goods. Low-f...
Read More"
