"sku","brand","name","image","description","packaging"
"4220554","Nabisco","Cookie Fig Newton Cake","https://mediacdn.sysco.com/images/rendition?id=59f49a499fff667668175e5fecd7fd2187236d1d","","120/1 OZ"
"4368264","Block & Barrel Classic","Pickle Dill Chip Krinkle Kut 400 To 450 Count","https://mediacdn.sysco.com/images/rendition?id=95eef9627976646cf7c0f09ea2d7c55b89a8d78f","","4/1 GAL"
"7578149","Block & Barrel Classic","Pickle Dill Long Sliced Kosher Krinkle Kut 3/16""","https://mediacdn.sysco.com/images/rendition?id=553e8a5a8081d42ef4923f775b917e0c4dbb2ee7","","1/5 GAL"
"4518403","Sysco Reliance","Shortening Fry Liquid Clear Zero Trans Fat","https://mediacdn.sysco.com/images/rendition?id=440afa2b1f9a25ae3bd2af13e9cc8ec734d52857","","1/35LB"
"1404755","Sysco Imperial","Dressing Ranch Buttermilk","https://mediacdn.sysco.com/images/rendition?id=ae39e36c000f4be5f35dfd563f4bbc1bd3b15d84","","4/1 GAL"
"6804603","Kettle Cooked Foods","Chip Potato Sea Salted","https://mediacdn.sysco.com/images/rendition?id=3be4bdbb1b55dd0b2f762dc680853a6ab9696940","","24/2 OZ"
"4119509","Sysco Reliance","Shortening Fry Liquid Creamy Zero Trans Fat","https://mediacdn.sysco.com/images/rendition?id=357beed679930372e67484eb2372e2020ab7fcac","","1/35LB"
"7279924","Packer","Bean Pinto Triple Clean","https://mediacdn.sysco.com/images/rendition?id=19f70abeaee3db4da8e51fe0954e824f7d372b74","","1/50 LB"
"4002432","Sysco Reliance","Mayonnaise Heavy Duty","https://mediacdn.sysco.com/images/rendition?id=101203f0fe331f3e62f5d9844b8d975ea577cdcb","","4/1GAL"
"8602773","Viva (lard Only!!)","Lard Cube","https://mediacdn.sysco.com/images/rendition?id=0fc3c17f27b2871688870a18e4858f98bd17812b","","1/48 LB"
"4015657","Sysco Classic","Applesauce Fancy Sweetened","https://mediacdn.sysco.com/images/rendition?id=c7ac1f5d89fa154f288abd4a6a0aad5145fe2fc3","","6/#10"
"7626013","Sysco Classic","Shortening Fry Canola Clear Zero Trans Fat","https://mediacdn.sysco.com/images/rendition?id=8b908e34d3179cb95f0c0aea5b7a8579c4f21d34","","1/35LB"
"7351008","Mondelez Int Snacks","Cookie Pieces Oreo Medium","https://mediacdn.sysco.com/images/rendition?id=1b62cf047e7a57924131ecac9781ea42f8352824","","1/25 LB"
"4368276","Block & Barrel Classic","Pickle Dill Chip Krinkle Kut 2000 To 2285 Count","https://mediacdn.sysco.com/images/rendition?id=be77753e487ea2cc02ebf31ad0f814645f74f7b2","","1/5 GAL"
"6638738","House Recipe Imperial","Ketchup Squeeze Red Upside Down","https://mediacdn.sysco.com/images/rendition?id=f54723c5dc880bb35132dec0a5273b3ef2498142","","16/20OZ"
"9156746","Sysco Reliance","Lard Cube Deodorized","https://mediacdn.sysco.com/images/rendition?id=c4a944e5ff6bc1642e6012b0e8711b99b708ccb6","","1/50 LB"
"6586721","Lays","Chip Variety Frito Lay","https://mediacdn.sysco.com/images/rendition?id=d338658e6a373ffe1c5ed380dcfaeca81dd41e80","","1/60CT"
"4119079","Sysco Reliance","Oil Soybean Vegetable Pure","https://mediacdn.sysco.com/images/rendition?id=d57479a7397b758412ce75592d42d3efb01f2d94","","1/35LB"
"1913819","General Mills","Cereal Cheerios Apple Cinnamon Bowlpak","https://mediacdn.sysco.com/images/rendition?id=543f73d0042b40fa99ba687ab5bc1276704f6a39","","96/1 OZ"
"7244202","Bush's Best","Bean Baked Bean","https://mediacdn.sysco.com/images/rendition?id=0ecd762ab82966ac46b61e9032ce0b2f41876ed1","","6/117OZ"
"7251884","Casa Solana Classic","Dip Queso Poblano","https://mediacdn.sysco.com/images/rendition?id=e8cdc6fa9677f26bcd706516ad65adf44c80ed19","","4/5 LB"
"6725737","Miss Vickie's (frito-lay)","Chip Potato Jalapeno Kettle","https://mediacdn.sysco.com/images/rendition?id=2d13fad1cccd4b95129f9a36b7026b0a17018504","","64/1.375Z"
"5087572","Sysco Classic","Sugar Granulated Extra Fine Cane","https://mediacdn.sysco.com/images/rendition?id=e12e4d32d22b10585fb42b4de49c2c96c5a9cf95","","1/25LB"
"7200965","Pasta Labella","Pasta Macaroni Elbow Smooth","https://mediacdn.sysco.com/images/rendition?id=72c36d36ab44500d7d91192b5e801bb2696fc384","","2/10 LB"
"5617139","King Arthur (s&e)","Flour High Gluten Sir Lancelot","https://mediacdn.sysco.com/images/rendition?id=68ae536ba7ebfda269814fd3ba318c5314cd36f4","","1/50 LB"
