"sku","brand","name","image","description","packaging"
"7182310","Wholesome Farms Imperial","Egg Shell Medium White Aa Cage Free","https://mediacdn.sysco.com/images/rendition?id=8a8a8927e684c945bb479520fc3c0dd161aab1f9","","1/15 DZ"
"2441269","Wholesome Farms Classic","Milk Homogenized","https://mediacdn.sysco.com/images/rendition?id=7a9780bd27d036e49d41b82f407ece3c81a34988","","2/1 GAL"
"4828554","Wholesome Farms Classic","Creamer Half & Half Extended Shelf Life","https://mediacdn.sysco.com/images/rendition?id=66086fe5ae0fa1a958e5142e5f4bcc532e372411","","12/32OZ"
"5066069","Wholesome Farms Classic","Buttermilk 1% Half Gallon","https://mediacdn.sysco.com/images/rendition?id=22d2428dc7bf1d93a89dd37fc99f345e91219606","","6/64 OZ"
"4828802","Wholesome Farms Classic","Cream Heavy Whipping 36% Extended Shelf Life","https://mediacdn.sysco.com/images/rendition?id=2eeaa04bfaaf949e7e556e5ed7821513fa74f97b","","12/32OZ"
"0139667","Darigold Farms","Creamer Half & Half Ultra Pasteurized","https://mediacdn.sysco.com/images/rendition?id=dd430db78b6b3b38a0ff62fec042b235474013e5","","6/.5 GAL"
"3029739","Wholesome Farms Imperial","Butter Cup Usda Aa","https://mediacdn.sysco.com/images/rendition?id=f030a6cf176f667c903fbd8ec7ab126a1f221ec1","","720/5 GM"
"7100283","Citavo Classic","Creamer Coffee Citavo Non Dairy Flavored Hazelnut","https://mediacdn.sysco.com/images/rendition?id=f64f8fd8a7953bf98c3e426a4bf7281cb4c4109f","","288/13 ML"
"8722712","Darigold Farms","Cream Heavy 40% Ultra High Temperature","https://mediacdn.sysco.com/images/rendition?id=037cc69e8dac26adb1dd8d76ff14777f0bf8557e","","6/.5 GAL"
"7213277","Darigold Farms","Milk 1% Mini Box","https://mediacdn.sysco.com/images/rendition?id=8c534d51e3dab54204fd01012de970e87eac0a3d","","50/.5 PT"
"5101096","Wholesome Farms Imperial","Butter Solid Salted Usda Aa","https://mediacdn.sysco.com/images/rendition?id=f766dc2d7fde349530941e77652254556b0da731","","30/1 LB"
"8722407","Darigold Farms","Creamer Half & Half Ultra High Temperature","https://mediacdn.sysco.com/images/rendition?id=bcd5776820fca9b87003a488621f376f03c4a182","","12/32 FOZ"
"5102025","Block & Barrel Classic","Cheese American 96 Sliced Yellow","https://mediacdn.sysco.com/images/rendition?id=741dee373514b25405661712f427058130fd7f70","","4/5 LB"
"5275478","Darigold Farms","Butter Unsalted Elgin Print","https://mediacdn.sysco.com/images/rendition?id=830c42af5cb83f74295985a08e1b9bcd5222595e","","30/1 LB"
