"sku","brand","name","image","description","packaging"
"7165648","Buckhead Pride/ Newport Pride","Beef Ground Chub 80\20 Fresh","https://mediacdn.sysco.com/images/rendition?id=62961f1208f8b5b9d6e2ff10c21a178fa01c5d44","","3/5 LB"
"8218285","Koch's Poultry","Chicken Cvp Breast Boneless-skinless Random Halal Frozen","https://mediacdn.sysco.com/images/rendition?id=3d9fb190ff95d067737890fe425da781a15f479d","","1/40 LB"
"2021590","Rays Meats","Beef Ground Bulk 80%-20%","https://mediacdn.sysco.com/images/rendition?id=8dcf4612f30b0089701263622c900c46fbdd8c29","","10/1 LB"
"6461325","Koch's Poultry","Chicken Breaded 8 Piece Precooked Ovenable","https://mediacdn.sysco.com/images/rendition?id=8cb9a2845cc4b2a81c15888a37fba6e4c6f48939","","4/4.5 LB"
"7677453","Foster Farms","Corn Dog Chicken Jalapeno Cheese With Bag","https://mediacdn.sysco.com/images/rendition?id=2f7647a14ed7185e9e152090cc3b74d09d44052e","","36/4 OZ"
"2010385","Dailys Bacon","Bacon Sliced Bulk Big 14/20 Count","https://mediacdn.sysco.com/images/rendition?id=81933f1f250bc37c350bc68ae3abab7730633904","","1/15 LBS"
"6344790","Sysco Classic","Chicken Cvp Wings 1st And 2nd Joints Jumbo","https://mediacdn.sysco.com/images/rendition?id=b3366b888c23ac55434f9b854a48974cc29a2111","","4/10 LB"
"7000235","Sysco Classic","Chicken CVP Wings 1st & 2nd Joints Jumbo Frozen","https://mediacdn.sysco.com/images/rendition?id=803577d54561c4b6508f53370f92ef70fc39d617","","4/10 LB"
"7238026","Packer","Beef Tenderloin Tip Frozen","https://mediacdn.sysco.com/images/rendition?id=f6b618c6614f75fe05e487854e6b2ac360b51ee1","","1/10 LB"
"1912221","Buckhead Pride/ Newport Pride","Beef Short Rib Bone-in .25"" No-roll Frozen","https://mediacdn.sysco.com/images/rendition?id=c3384294d95c8ca430a6c2fa4b547729b013f91c","","1/10#AVG"
